Ejecucion,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,f(x)
0,0.016,0.062,0.012,1.992,2.032,0.033,-0.946,-0.120,0.994,-1.031,15.796
1,1.922,-0.039,-0.931,-0.933,0.081,-0.002,-2.066,1.003,0.992,0.005,17.114
2,-0.965,0.004,1.016,-1.875,1.057,0.932,0.932,0.907,-1.016,-0.905,20.132
3,-0.018,0.948,0.993,0.033,0.927,0.178,-0.896,0.052,-0.006,-0.003,13.642
4,1.952,-0.006,0.002,2.024,-1.021,-0.049,0.932,-0.920,0.985,-0.990,15.941
5,0.927,-1.951,0.989,0.078,-0.918,-0.003,0.995,-0.077,0.980,-0.003,13.700
6,-1.011,-0.044,0.968,1.026,-1.006,-0.033,-0.012,-1.025,-0.987,-1.033,8.468
7,-0.002,1.050,1.012,1.036,-0.009,-0.931,0.932,-0.996,0.970,-1.958,13.836
8,0.042,-0.932,-0.045,1.105,0.045,-1.019,0.000,-0.001,-0.061,0.932,9.863
9,-0.013,0.020,0.010,-1.001,0.984,0.994,0.013,-0.001,0.948,-1.953,8.863
10,0.000,2.033,-0.996,-0.995,0.999,0.014,0.990,-0.028,-0.002,-1.997,12.514
11,-0.927,2.982,0.004,0.996,-0.995,0.003,0.976,-0.975,1.872,-0.078,22.721
12,1.021,0.991,-0.986,-0.949,0.060,-1.009,-0.005,-0.991,-0.991,0.935,9.989
13,2.068,2.001,0.935,-0.020,-0.937,0.000,0.924,1.017,0.974,0.992,17.736
14,-0.987,-0.003,0.992,0.929,2.032,-0.937,-0.011,-0.995,0.996,1.004,12.844
15,0.937,0.981,-1.014,0.962,-0.935,0.020,-1.020,-0.064,-0.028,0.932,10.599
16,-0.966,-0.916,-1.026,0.923,0.020,-0.976,0.016,-1.021,-0.006,0.998,9.891
17,-0.941,-0.070,0.030,0.934,-1.983,-0.927,0.011,-1.017,-0.002,-0.975,12.502
18,-0.969,0.936,-0.030,1.010,-1.026,-0.030,0.993,0.007,0.002,0.978,7.439
19,-0.028,-0.057,-0.003,0.030,-0.039,-1.964,-0.984,-1.028,2.942,-0.989,17.946
20,0.995,0.935,0.991,0.927,-0.932,0.999,-0.030,-1.028,-0.061,0.986,11.469
21,-1.002,0.008,0.042,-0.934,-0.013,-0.985,-0.998,-1.070,1.064,-1.032,10.430
22,0.999,1.029,-1.036,0.919,0.994,-0.926,0.003,0.000,0.026,-0.990,9.708
23,-2.036,-0.032,0.006,0.003,1.024,0.926,-1.017,0.932,0.001,-1.017,11.647
24,-0.990,2.035,0.993,0.976,-0.967,1.019,-0.014,-1.870,-1.003,0.907,19.847
25,1.993,0.029,0.898,1.028,-2.023,-0.048,0.997,1.003,1.872,0.999,22.354
26,1.996,0.014,-0.008,0.967,-0.945,-0.974,-0.997,0.981,-0.041,-0.983,11.140
27,-1.986,0.040,-0.020,-1.035,-0.952,0.042,1.012,-0.005,-1.994,0.001,12.453
28,0.937,-0.052,-0.047,-1.938,0.081,-0.077,0.990,-0.013,-0.019,0.000,10.658
29,-0.957,-2.033,0.000,-1.947,1.066,-0.010,2.000,-0.038,-0.999,-0.004,17.267
